crn,cname,title,semester,credit,status,schedule,begin,end,building,room,capacity,professor,preq,desc,major
10028,AAS 106,The Making of Modern Africa,Fall 2016,4.0,Open,MW,1230,1345,LCHAS,143,0,MANDALA E,NULL,"This course uses film, novel, and historical studies to examine the following themes in the making of modern Africa: the forging of new national identities, creation of wage laborers, and the restructuring of agricultural work, gender, and social age. Students will also explore how African women and men, from their homes and workplaces, and as part of nationalist or national liberation movements during and after the Cold War, have sought to redefine their place in the global economy against the backdrop of new opportunities and challenges presented by the HIV/AIDS pandemic, hunger, international debt, and engagement with China.",AAS
10061,AAS 168,WEST AFRICAN DRUMMING ADV,Fall 2016,1.0,Open,W,1900,2030,STRNG,LOWER,15,BANGOURA K,At least one semester of previous enrollment in the Intro West African Percussion Ensemble ***OR PRIOR MUSIC EXPERIENCE***.,"In this course, students will work on expanding their repertory of rhythms from Guinea, West Africa, and on improving their playing technique on the djembe, dunun, sangban, and kenkeni.  In particular, we will concentrate on learning extended solo sequences for the djembe, and more advanced arrangements played on the dunun, sangban, and kenkeni.  Students will also work on developing skills specific to performance, adding choreographed onstage movement to complement their drumming.",AAS
10076,AAS 168,WEST AFRICAN DRUMMING INTRO,Fall 2016,1.0,Open,W,2030,2200,STRNG,LOWER,20,BANGOURA K,NULL,"Led by Master Drummer Fana Bangoura, the West African Drumming Ensemble is dedicated to the dynamic percussive traditions of Guinea. The ensemble combines the iconic djembe hand drum with a trio of drums played with sticks, known as dunun, sangban, and kenkeni. The powerful, multi-part relationships established by this trio of drums provide a rhythmic foundation for the ensemble, enabling djembe players to develop technique in executing both accompaniment and solo parts. Drawing upon his experience as a soloist with the internationally acclaimed groups Les Percussions de Guinée and Les Ballets Africains, Fana engages ensemble players with a wide repertory of music from various regions of Guinea, including the rhythms of the Susu, Malinke, and Baga language groups.",AAS
10093,AAS 182,WEST AFRICAN DANCE FORMS 1A,Fall 2016,2.0,Open,MW,1525,1640,SPURR,DANCE,5,BANGOURA K,DAN 181,A continuation of Dance 181.,AAS
10109,AAS 210,"Ngoma: Drumming, Dance, and Ritual in Southern Africa.",Fall 2016,4.0,Open,TR,940,1055,SPURR,DANCE,20,KYKER J,NULL,"Throughout much of Southern Africa, the word “ngoma” means drum. It also refers to specific musical styles that combine drumming, dance, and song. Finally, there is often a ritual dimension to ngoma, which is used in ceremonies focused around individual and social healing. In this class, students will bring ngoma alive by learning to perform various Zimbabwean ngoma genres, with the option of specializing in either drumming or dance. Through video clips, audio recordings, photos, and articles, we will also learn to understand ngoma within a larger cultural framework.",AAS
80787,AAS 230,AFRICAN AMERICAN AUTOBIOGRAPHY,Fall 2016,4.0,Open,TR,940,1055,LCHAS,121,0,TUCKER J,NULL,"Autobiography is the foundational genre in the tradition of African-American literature. It is also the genre that both illustrates and represents the process of the construction of identity. Autobiography is not only writing about a life authored by oneself, but also the life of the self made manifest in the form of writing. This course surveys the tradition of autobiographical writings by African Americans, from slave narratives to recent bestsellers, in order to promote an understanding of autobiography as a narrative form shaped by its historical context and the purposes of the author. In addition, the course provides students with insights into various topics in African-American culture and history. Readings include texts by Frederick Douglass, Olaudah Equiano, Zora Neale Hurston, Harriet Jacobs, Audre Lorde, Barack Obama, Booker T. Washington, Richard Wright, Malcolm X, and more. Requirements include two formal writing assignments, bi-weekly reading responses, and participation in class discussion.",AAS
85345,AAS 235,THE BLACK BODY: INTERSECTING INTIMACIES,Fall 2016,4.0,Open,MW,900,1015,LATT,441,20,MARINER K,NULL,"In Black Skins, White Masks, Frantz Fanon wrote, “O my body, make of me always a man who questions!” In the United States, popular cultural understandings of race have often located blackness within the body: in DNA, in blood, in skin, in hair texture, in facial features. How does race get mapped onto the body? In this interdisciplinary course on race and embodiment, students will encounter texts and writing assignments prompting them to think critically about how black bodies ‘matter’ in the contemporary U.S. Course materials and assignments will encourage students to explore how blackness intersects with other social categories such as gender and sexuality at the site of the body, while exploring how these categories are socially constructed and can and should be troubled, blurred, and contested in the practice of social life. The dual themes of intersectionality and visuality will act as a frame for our explorations.",AAS
10055,AAS 239,SPIRITUALISM IN AMERICA,Fall 2016,4.0,Open,MW,1400,1515,GRGEN,110,20,GUILLORY M,NULL,"Is it possible to communicate with the dead? This course examines how followers of American Spiritualism sought to grapple with this very question. Specifically, it takes students on a historical journey from the early development of modern Spiritualism in upstate New York to current forms as expressed by African American Spiritual Churches in New Orleans. Class format includes lectures, discussions, films, and field trips.",AAS
10203,AAS 253,Economics of Discrimination,Fall 2016,4.0,Open,MW,900,1015,MEL,224,30,WOLKOFF M; ENGERMAN S,ECO 108,"Economic development of African Americans during the twentieth century, with an examination of the economics of discrimination. Same as HIS 253 and AAS 253.",AAS
10212,AAS 254,WEST AFRICAN DANCE FORMS I,Fall 2016,2.0,Open,MW,1525,1640,SPURR,DANCE,25,BANGOURA K,NULL,"Dynamic dance traditions of Guinea, West Africa. Accompanied by live music, students learn footwork and movements for several rhythms and acquire familiarity with the physical stance common to many styles of West African dance. Learn to execute movements together with the rhythmic foundation provided by our drummers and become familiar with the origins and cultural significance of each dance, and the songs that accompany them.",AAS
