crn,cname,title,semester,credit,status,schedule,begin,end,building,room,capacity,professor,preq,desc,major
10012,AAS 106,The Making of Modern Africa,Fall 2017,4.0,Open,MW,1230,1345,LCHAS,143,0,MANDALA E,NULL,"This course uses film, novel, and historical studies to examine the following themes in the making of modern Africa: the forging of new national identities, creation of wage laborers, and the restructuring of agricultural work, gender, and social age. Students will also explore how African women and men, from their homes and workplaces, and as part of nationalist or national liberation movements during and after the Cold War, have sought to redefine their place in the global economy against the backdrop of new opportunities and challenges presented by the HIV/AIDS pandemic, hunger, international debt, and engagement with China.",AAS
80990,AAS 121,WORLD MUSIC in CONTEXT,Fall 2017,4.0,Open,TR,1230,1345,STRNG,LOWER,0,KYKER J,No prerequisites.,"In this introductory course, students will engage with a variety of musical genres, instruments, and performance techniques from different areas of the world. Through reading assignments, listening examples, film clips, and participatory activities, students will study how people in difference places engage with music as a sonic and social practice. Students will also learn how to write about music as a form of social practice through short reading responses and structured essay assignments.",AAS
81109,AAS 156,INTRODUCTION TO AFRICAN-AMERICAN LITERATURE,Fall 2017,4.0,Open,TR,940,1055,LCHAS,121,0,TUCKER J,NULL,"This course surveys African-American literature of a variety of genres—poetry, drama, autobiography, fiction, and non-fiction—with a focus on the 18th and 19th Centuries.  The course interprets this tradition not only as the production of American writers of African descent, but also as a set works that display formal characteristics associated with black cultural traditions.  Discussion topics include the meanings of race, the construction of black identity, and literature as historical document.   Special attention will be paid to approaching literary texts from a variety of critical perspectives.  Featured writers include Phillis Wheatley, William Wells Brown, Frederick Douglass, Harriet W. Wilson, Charles W. Chesnutt, W.E.B. DuBois, Paul Laurence Dunbar, and more.  Course requirements include two formal writing assignments, bi-weekly reading responses, and class participation.",AAS
83405,AAS 165,MBIRA ENSEMBLE,Fall 2017,1.0,Open,M,1830,2000,ET,12,20,WEST G,NULL,"6ENS 216 (I, II-1) Mbira Ensemble  The Eastman Mbira Ensemble provides a hands-on introduction to the ancient and sophisticated musical tradition of the Shona mbira of Zimbabwe. Visiting Zimbabwean guest artists will also offer students the opportunity to delve more deeply into traditional musical practices and their cultural and spiritual context. Songs are taught aurally so no musical experience or training is required.   May be repeated for credit",AAS
10030,AAS 168,WEST AFRICAN DRUMMING ADV,Fall 2017,1.0,Open,W,1900,2030,STRNG,LOWER,15,BANGOURA K,At least one semester of previous enrollment in the Intro West African Percussion Ensemble ***OR PRIOR MUSIC EXPERIENCE***.,"In this course, students will work on expanding their repertory of rhythms from Guinea, West Africa, and on improving their playing technique on the djembe, dunun, sangban, and kenkeni.  In particular, we will concentrate on learning extended solo sequences for the djembe, and more advanced arrangements played on the dunun, sangban, and kenkeni.  Students will also work on developing skills specific to performance, adding choreographed onstage movement to complement their drumming.",AAS
10048,AAS 168,WEST AFRICAN DRUMMING INTRO,Fall 2017,1.0,Open,W,2030,2200,STRNG,LOWER,20,BANGOURA K,NULL,"Led by Master Drummer Fana Bangoura, the West African Drumming Ensemble is dedicated to the dynamic percussive traditions of Guinea. The ensemble combines the iconic djembe hand drum with a trio of drums played with sticks, known as dunun, sangban, and kenkeni. The powerful, multi-part relationships established by this trio of drums provide a rhythmic foundation for the ensemble, enabling djembe players to develop technique in executing both accompaniment and solo parts. Drawing upon his experience as a soloist with the internationally acclaimed groups Les Percussions de Guinée and Les Ballets Africains, Fana engages ensemble players with a wide repertory of music from various regions of Guinea, including the rhythms of the Susu, Malinke, and Baga language groups.",AAS
10056,AAS 170,RELIGION & HIP HOP CULTURE,Fall 2017,4.0,Open,TR,1105,1220,MEL,203,75,GUILLORY M,NULL,"This course considers an often overlooked element in the study of hip hop culture, religion. Specifically, the course offers students the opportunity to examine the variety of ways that religion finds expression in the dynamic cultural medium of hip hop. Class format includes lectures, discussions, films, and video/music presentations.",AAS
10067,AAS 182,WEST AFRICAN DANCE FORMS 1A,Fall 2017,2.0,Open,MW,1525,1640,SPURR,DANCE,5,BANGOURA K; PATTON S,DAN 181,A continuation of Dance 181.,AAS
84328,AAS 205,"THE ANTHROPOLOGY OF ""ROBOTS"", WORKERS AND THE ECONOMY",Fall 2017,4.0,Open,W,1505,1820,MOREY,314,0,FORDHAM S,NULL,"In contemporary cultural contexts where the pace and scope of social and economic change is historically unprecedented, “the rise of robots” is concurrently dreaded and desired.  In this course, student participants will focus on what robots have in common with human workers. The primary goal is to define and refine what it means to be a worker and by extension what it means to a robot by answering the following questions: What are the most common features robots share with (human) workers and working, not just in America but across the globe? What are the moral implications of the displacement of human workers with robots and how are they impacted by race, class and  gender? Would the displacement of human workers necessitate alternative economic systems such as universal guaranteed income? This course deploys three major images of workers-- human, enslaved people and robots--to interrogate the following premise: workers are robots and robots are humans.",AAS
85715,AAS 223,The South and the World,Fall 2017,4.0,Open,TR,1400,1515,MEL,205,0,HUDSON L,NULL,"“Tell about the South,” demands Shreve McCannon in William Faulkner’s Absalom, Absalom! Was the “Old South” a region stuck in time, anti-modern, anti-North and anti-black” or was it, as historians have recently suggested, “an active participant in, and even a promoter of, change and progress?”  This course will examine the many roles, nationally and internationally (real and imagined) played by the Old and New South.",AAS
