crn,cname,title,semester,credit,status,schedule,begin,end,building,room,capacity,professor,preq,desc,major
90128,AAS 121,WORLD MUSIC IN CONTEXT,Spring 2017,4.0,Open,TR,1230,1345,DEWEY,1305,25,KYKER J,No prerequisites.,"In this introductory course, students will engage with a variety of musical genres, instruments, and performance techniques from different areas of the world. Through reading assignments, listening examples, film clips, and participatory activities, students will study how people in difference places engage with music as a sonic and social practice. Students will also learn how to write about music as a form of social practice through short reading responses and structured essay assignments.",AAS
80716,AAS 141,African-American History I to 1900,Spring 2017,4.0,Open,TR,1400,1515,B&L,315,0,HUDSON L,NULL,"After a brief review of the primary features of pre-European African society, we will examine the affect of the ""Middle Passage"" -- the transportation of enslaved Africans to the Western Hemisphere.  We will then focus on the process of ""Americanization"" as the Africans became African-Americans. The struggle for freedom and citizenship will conclude our survey. The main course readings will be a representative sample of African-American autobiographies, and short selections from a secondary text. Using the autobiographies as historical source material, we will produce a brief history of the values and cultural practices of Africans in America, and the ways in which African-Americans adapted to and shaped American life and society.",AAS
10027,AAS 151,THE BLUES,Spring 2017,4.0,Open,MW,1400,1515,MEL,221,0,BEAUMONT D,NULL,"The origins of the Blues in the context of African-American culture in the late 19th and early 20th centuries, it's rapid rise to becoming the dominant popular music in the African- American community, and the discovery of blues by white audiences.",AAS
10040,AAS 162,MODERN AFRICAN-AMERICAN ENGLISH,Spring 2017,4.0,Open,TR,1230,1345,MOREY,501,40,ELOI-EVANS S,NULL,"This course looks at the varieties of English used primarily by and among African Americans. We will first explore and discuss the linguistic features (lexicon and grammar) of African American English (AAE). We will also investigate the ways in which AAE is being utilized in popular culture. Additionally, we will look at AAVE’s connection to African languages and creoles. Finally, this course will look at the issues connected to AAVE and attitudes towards this variety and its effects on teachers’ expectations and students' progress; linguistic profiling and discrimination in employment and housing.",AAS
10052,AAS 165,MBIRA ENSEMBLE,Spring 2017,1.0,Open,M,1730,1900,ET,12,11,WEST G,NULL,"6ENS 216 (I, II-1) Mbira Ensemble  The Eastman Mbira Ensemble provides a hands-on introduction to the ancient and sophisticated musical tradition of the Shona mbira of Zimbabwe. Visiting Zimbabwean guest artists will also offer students the opportunity to delve more deeply into traditional musical practices and their cultural and spiritual context. Songs are taught aurally so no musical experience or training is required.   May be repeated for credit",AAS
90176,AAS 165,MBIRA ENSEMBLE,Spring 2017,1.0,Open,M,1900,2030,ET,12,0,WEST G,NULL,"6ENS 216 (I, II-1) Mbira Ensemble  The Eastman Mbira Ensemble provides a hands-on introduction to the ancient and sophisticated musical tradition of the Shona mbira of Zimbabwe. Visiting Zimbabwean guest artists will also offer students the opportunity to delve more deeply into traditional musical practices and their cultural and spiritual context. Songs are taught aurally so no musical experience or training is required.   May be repeated for credit",AAS
10069,AAS 168,WEST AFRICAN DRUM ADV,Spring 2017,1.0,Open,W,1900,2030,STRNG,LOWER,15,BANGOURA K,At least one semester of previous enrollment in the Intro West African Percussion Ensemble ***OR PRIOR MUSIC EXPERIENCE***.,"In this course, students will work on expanding their repertory of rhythms from Guinea, West Africa, and on improving their playing technique on the djembe, dunun, sangban, and kenkeni.  In particular, we will concentrate on learning extended solo sequences for the djembe, and more advanced arrangements played on the dunun, sangban, and kenkeni.  Students will also work on developing skills specific to performance, adding choreographed onstage movement to complement their drumming.",AAS
10074,AAS 168,WEST AFRICAN DRUMMING INTRO,Spring 2017,1.0,Open,W,2030,2200,STRNG,LOWER,20,BANGOURA K,NULL,"Led by Master Drummer Fana Bangoura, the West African Drumming Ensemble is dedicated to the dynamic percussive traditions of Guinea. The ensemble combines the iconic djembe hand drum with a trio of drums played with sticks, known as dunun, sangban, and kenkeni. The powerful, multi-part relationships established by this trio of drums provide a rhythmic foundation for the ensemble, enabling djembe players to develop technique in executing both accompaniment and solo parts. Drawing upon his experience as a soloist with the internationally acclaimed groups Les Percussions de Guinée and Les Ballets Africains, Fana engages ensemble players with a wide repertory of music from various regions of Guinea, including the rhythms of the Susu, Malinke, and Baga language groups.",AAS
81865,AAS 183,INCARCERATION NATION,Spring 2017,4.0,Open,TR,1230,1345,GRGEN,108,60,DUBLER J,NULL,"How does a country with five percent of the world's population, a country that nominally values freedom above all else, come to have nearly a quarter of the world's incarcerated people? In this survey course we investigate the history of imprisonment in the United States--as theorized and as practiced--from the founding of the republic to the present day. Special attention is paid to the politics, economics, race politics, and religious logics of contemporary mass incarceration, and to the efforts afoot to end mass incarceration.",AAS
10095,AAS 202,New Perspectives in Global History,Spring 2017,4.0,Open,TR,1230,1345,MEL,206,0,MANDALA E,NULL,"An introduction to the study of Global History, focusing on the origins and development of the rift between the Global North and Global South, and on experiences that are common to diverse peoples of the Global South. Topics include the crisis in European feudalism, the rise of capitalism, social revolutions in China and Russia, the collapse of European colonial empires, and the emergence of China as an economic powerhouse and its impact on our understanding of global connections.",AAS
85190,AAS 213,"Politics of Nature: Gender, Race, and the Environment",Spring 2017,4.0,Open,W,1400,1640,MOREY,205,17,BAKHMETYEVA T,NULL,"This course explores the relationship between the environment and social inequality, focusing specifically on issues of gender, race, and class. Is there a connection between sexism, racism, class exploitation, and environmental destruction? This is the question we raise. Using intersectional feminist analysis, we will investigate the historical roots of modern dualist constructions that juxtapose humans and the environment, men and women, creating an anthropocentric, racialized, and engendered framework that produces and maintains both social inequalities and our destructive attitude towards the environment. Topics might include but are not limited to the following: historical ideas about nature and environment; eco-imperialism; eco-feminism; climate change and its connection to issues of race, gender, and class; justice and sustainability; poverty and natural resources; food justice; natural disasters (such as Hurricane Katrina) and their context, and others.",AAS
87734,AAS 218,"The Historical Origins of Unequal Development Among Ethnic Nationalities and State Policy: A Comparative Study of Brazil, the United States, and Nigeria",Spring 2017,4.0,Open,MW,1025,1140,HYLAN,203,0,INIKORI J,NULL,"The 2010 Brazilian national census shows 97.2 million Afro-Brazilians and 90.6 million Whites. These two ethnic nationalities have developed unequally since the establishment of colonial Brazil by Portugal in the sixteenth century. The 2010 census shows the average income of Afro-Brazilians was less than half that of White Brazilians. In 2009, the wealth gap between White and Black American families was $236,500. The most populous African nation, Nigeria, shows similar inequality among its major ethnic nationalities. This magnitude of inequality among ethnic nationalities has given rise to serious problems in inter-group relations in the three countries. This course aims to trace, comparatively, the historical origins of the phenomenon, examine the political and economic consequences, and discuss the politics and economics of state policy designed to address it. *NOTE: Students taking this Course for ECO credit must have previously taken ECO 108*",AAS
84194,AAS 234,PHONO-GRAPHY/MUSIC & AA LIT,Spring 2017,4.0,Open,MW,1230,1345,MEL,218,25,FESS P,NULL,"This course investigates how music structured the politics and literature of race, enslavement, and citizenship for African Americans from the U.S. abolitionist movement to the early twentieth century. Even though recorded sound was only just beginning to become popular during the end of this period, music provided fertile ground from which writers, thinkers, and activists negotiated the momentous changes African Americans saw during these years. In order to develop tools by which to read for sound we will study the work of sound theorists such as Jacques Attali, Jonathan Sterne, Alexander Weheliye, and Katherine Biers. We will also examine various types of recordings including the songbook Slave Songs of the United States (1867), late-nineteenth-century cylinder and acetate recordings, and early blues and jazz recordings.",AAS
